archivo,nombre,pelicula,rol
Chris_Sanders.jpg,Chris Sanders,Robot salvaje,Director
Chosen_Jacobs.jpg,Chosen Jacobs,Robot salvaje,Actor
Lupita_Nyong'o.jpg,Lupita Nyong'o,Robot salvaje,Actriz
Joel_Crawford.jpg,Joel Crawford,El Gato con Botas: El último deseo,Director
Antonio_Banderas.jpg,Antonio Banderas,El Gato con Botas: El último deseo,Actor
Harvey_Guillén.jpg,Harvey Guillén,El Gato con Botas: El último deseo,Actor
Joseph_Kosinski.jpg,Joseph Kosinski,Top Gun: Maverick,Director
Tom_Cruise.jpg,Tom Cruise,Top Gun: Maverick,Actor
Miles_Teller.jpg,Miles Teller,Top Gun: Maverick,Actor
Christopher_Nolan.jpg,Christopher Nolan,Oppenheimer,Director
Cillian_Murphy.jpg,Cillian Murphy,Oppenheimer,Actor
Robert_Downey_Jr.jpg,Robert Downey Jr.,Oppenheimer,Actor
Denis_Villeneuve.jpg,Denis Villeneuve,Dune: Parte dos,Director
Timothee_Chalamet.jpg,Timothée Chalamet,Dune: Parte dos,Actor
Zendaya.jpg,Zendaya,Dune: Parte dos,Actriz
