id_pelicula,titulo,autor,contenido,fecha
569094,Spider-Man: Cruzando el Multiverso,Tanzim Pardiwalla,"With its impressive animation and star-studded voice cast including Shameik Moore, Hailee Steinfeld and an excellent Oscar Isaac, the film was a joyride from start to finish.","Sep 20, 2024"
569094,Spider-Man: Cruzando el Multiverso,Christina Newland,"In spite of a first half that suggests greatness, Across the Spider-Verse lets itself down with a televisual cliffhanger of an ending.","Sep 18, 2024"
569094,Spider-Man: Cruzando el Multiverso,James Preston Poole,"Spider-Man: Across the Spider-Verse is a triumph of a sequel, a triumph of a comic-book film, of animation, and so much more that takes every single aspect of the first film, remixes it, and improves upon it.","Aug 22, 2024"
569094,Spider-Man: Cruzando el Multiverso,Nate Tinner-Williams,"Hard to find much to critique in the new Sony film, given the clear attention to detail given to nearly every aspect of the film. It is literally dripping with artistic fervor, combined with an all-star cast that is still somehow subtle and not overdone.","Aug 10, 2024"
569094,Spider-Man: Cruzando el Multiverso,Branyan Towe,Spider-Man: Across the Spider-Verse leaves no doubt about its status as an all-time great in the history of animation,"jul 29, 2024"
569094,Spider-Man: Cruzando el Multiverso,Joonatan Itkonen,"It’s a unique, singular masterwork that defies expectation. Just like its predecessor.","jul 3, 2024"
569094,Spider-Man: Cruzando el Multiverso,Wesley Lovell,Superhero films suffer significantly from the law of diminishing returns as sequels strain to be better than their predecessors. Spider-Man: Across the Spider-Verse stands out as the antithesis of this notion...,"Apr 7, 2024"
569094,Spider-Man: Cruzando el Multiverso,Mike Scott,"One of the most artful and entertaining films of 2023, advancing the craft of animation in ways few have done previously.","Jan 15, 2024"
569094,Spider-Man: Cruzando el Multiverso,Jason Tabrys,Across The Spider-Verse truly explodes the idea of what a comic book movie can be. This is thanks to the boundlessly exuberant and adventurous way it both constructs and captures its world(s) during this jaunt through the multiverse.,"Jan 13, 2024"
569094,Spider-Man: Cruzando el Multiverso,Kiko Martinez,"The web-slinging sequel takes the Marvel superhero to new heights. The artistry is jaw-dropping, and the script is absorbing throughout.","Dec 30, 2023"
569094,Spider-Man: Cruzando el Multiverso,Chris Barsanti,Spider-Man: Across the Spiderverse leaves room for the moments that make its heroes humans worth caring about.,"Dec 29, 2023"
569094,Spider-Man: Cruzando el Multiverso,Kip Mooney,It takes everything amazing about the first film and kicks it up a notch.,"Dec 4, 2023"
569094,Spider-Man: Cruzando el Multiverso,Dan Buffa,"The problem is that I don’t see anything new being learned or discovered here. It's fun and the characters are engaging, but all of it is ultimately connected to past movies or themes. And it's familiar.","Dec 3, 2023"
569094,Spider-Man: Cruzando el Multiverso,Noah Berlatsky,"The problem is that the movie is constantly, almost compulsively, deflecting in order not to make it too, too clear what it’s actually about.","nov 24, 2023"
569094,Spider-Man: Cruzando el Multiverso,Andrea Zamora,"It's super fun, exciting, and surprising. [Full review in Spanish]","oct 26, 2023"
569094,Spider-Man: Cruzando el Multiverso,Eddie Harrison,"…a hard-sell for a 60 year old product you already bought, used, grew out of and got bored of some time ago…","Sep 30, 2023"
569094,Spider-Man: Cruzando el Multiverso,Shahbaz Siddiqui,Spider-Man: Across the Spider-Verse is AMAZING and a REVOLUTIONARY achievement in animation. It’s a wild and darker journey that is FULL of JAW-DROPPING surprises. Spider-Man has never looked so good.,"Sep 20, 2023"
569094,Spider-Man: Cruzando el Multiverso,Douglas Davidson,"Everything audiences have seen thus far from the first frame of ""Into"" to the last of ""Across"" means something to the larger story, and it’s been in front of us the whole time.","Sep 18, 2023"
569094,Spider-Man: Cruzando el Multiverso,Matt Brunson,A sequel that’s just as good as its predecessor.,"Sep 9, 2023"
569094,Spider-Man: Cruzando el Multiverso,Jeffrey Peterson,"For a 140 min film, you’ll feel like you’re in an art gallery in the sense that you know there’s not enough time in the day to see everything, so you go ahead and make an internal commitment to come back.","Sep 7, 2023"
1184918,Robot salvaje,Esther Zuckerman,"The lessons of The Wild Robot are simple, but the artistry it uses to get there is anything but. It’s the kind of kids movie that feels all too rare with its painterly backdrops and genuine earnestness. The whole family is likely to fall in love.","jun 5, 2025"
1184918,Robot salvaje,Sheraz Farooqi,"THE WILD ROBOT is wholesome and beautifully animated. The animation style is unique and storybook-esque, while themes are strong and multi-layered. Almost feels like DreamWorks meets Studio Ghibli.","Apr 22, 2025"
1184918,Robot salvaje,Max Gao,"Lupita Nyong’o, Kit Connor, and Pedro Pascal form the emotional core of this heartfelt film. It’s a perfect family movie.","mar 12, 2025"
1184918,Robot salvaje,Armond White,"Sanders may pay tribute to the palette of Miyazaki and to classic Disney animation, but his nihilist reflex gives way to commercial sentimentality, reducing morality to manipulation.","mar 1, 2025"
1184918,Robot salvaje,Susan Granger,"Oscar-nominated for Best Animation, Sound and Original Score, Chris Sanders' tender-hearted, meaningful saga is the best family film of 2024. As for a sequel, it's inevitable since this encompasses only part one of Peter Brown's trilogy of YA novels.","feb 12, 2025"
1184918,Robot salvaje,Matt Brunson,"A lovely movie. The style of animation is crisp and inviting, with a definite touch of the Miyazaki about it.","feb 5, 2025"
1184918,Robot salvaje,Hoai-Tran Bui,An exquisite throwback to a time when children’s movies weren’t constantly disrespecting the attention span of their audiences.,"Jan 25, 2025"
1184918,Robot salvaje,Narendra Banad,[The Wild Robot] is the perfect animation vehicle - a fun ride depicting some universal truths about what it means to be human.,"Jan 21, 2025"
1184918,Robot salvaje,Clement Tyler Obropta,"Ringing, ceaseless noise and action with no thought to pacing and little care for story.","Jan 16, 2025"
1184918,Robot salvaje,Ruth Maramis,"A visually stunning animated tale filled with warmth as a robot discovers motherhood, though it tries a bit too hard to tug your heartstrings. Fantastic voice work overall, especially Nyong’o.","Jan 13, 2025"
1184918,Robot salvaje,Frederic and Mary Ann Brussat,A gorgeous animated film about a robot who is of service to an orphaned gosling and other animals.,"Jan 9, 2025"
1184918,Robot salvaje,Grant Watson,"It stands out as a particularly strong film for DreamWorks Animation, who have often struggled to match the quality of their American competitors.","Jan 8, 2025"
1184918,Robot salvaje,Tom Santilli,"There's no film in 2024 that I've seen more (my 8-year old son loves it more and more upon every re-watch), and it's bound to become a classic.","Dec 31, 2024"
1184918,Robot salvaje,Dan Buffa,"Movies like this don’t need to change the narrative wheel, providing a familiar yet effective effect for the whole family. Try not to feel something in the final scenes of the movie.","Dec 29, 2024"
1184918,Robot salvaje,Ana Yorke,"The most humane, vital story about family (and especially how it rewires the circuitry of a mother) and the power of communal solidarity this year comes from… an animated feature about a robot and a runt duckling.","Dec 26, 2024"
1184918,Robot salvaje,Matt Donato,"Emotions run high no matter your age, as Sanders rescues our hearts from feelings of coldness and isolation","Dec 24, 2024"
1184918,Robot salvaje,Preston Barta,"Few films have the power to evoke such strong emotions, and 'The Wild Robot' is a treasure trove of valuable life lessons for everyone.","Dec 21, 2024"
1184918,Robot salvaje,Jared Mobarak,Add themes on home and family of the nurture rather than nature variety and there's a lot to love about Roz and company's emotional evolutions. It's the blueprint of a civilization born from chaos.,"Dec 20, 2024"
