id,titulo,anio,duracion,genero,plataforma,estreno_cine,actores,directores,votos,puntuacion,poster_url
507086,Jurassic World: Dominion,2022,147,"Aventura, Acción, Ciencia ficción",Amblin Entertainment,2022-06-01,"Chris Pratt, Bryce Dallas Howard, Laura Dern",Colin Trevorrow,6442,6.662,https://image.tmdb.org/t/p/w500/AoMMjYFvaxX2aELmpRv6d7EAFmm.jpg
1040159,My Massive Cock,2022,47,Documental,Channel 4 Television,2022-10-24,"Matt Barr, Julia Davis",Mike Nicholls,9,6.222,https://image.tmdb.org/t/p/w500/9JQHViS8uugeWKfFsnEj3xTB2dZ.jpg
536554,M3GAN,2022,102,"Ciencia ficción, Terror",Atomic Monster,2022-12-28,"Allison Williams, Violet McGraw, Ronny Chieng",Gerard Johnstone,4302,7.049,https://image.tmdb.org/t/p/w500/tv3Yjn78U8hFGFrkSypiIhHNUh3.jpg
829557,365 días: Aquel día,2022,111,"Romance, Drama",Ekipa,2022-04-26,"Anna-Maria Sieklucka, Michele Morrone, Simone Susinna","Tomasz Mandes, Barbara Białowąs",1732,5.906,https://image.tmdb.org/t/p/w500/k3J2GdYxhR6U2RfsHZOsmHVKW7m.jpg
361743,Top Gun: Maverick,2022,131,"Acción, Drama",Skydance Media,2022-05-21,"Tom Cruise, Val Kilmer, Miles Teller",Joseph Kosinski,9960,8.175,https://image.tmdb.org/t/p/w500/AlWpEpQq0RgZIXVHAHZtFhEvRgd.jpg
76600,Avatar: El sentido del agua,2022,192,"Ciencia ficción, Aventura, Acción",20th Century Studios,2022-12-14,"Sam Worthington, Zoe Saldaña, Sigourney Weaver",James Cameron,12644,7.61,https://image.tmdb.org/t/p/w500/bqOqQ2Tawum3eHKNrc94P4EeaZB.jpg
315162,El Gato con Botas: El último deseo,2022,103,"Animación, Aventura, Fantasía, Comedia, Familia",DreamWorks Animation,2022-12-07,"Antonio Banderas, Salma Hayek Pinault, Harvey Guillén",Joel Crawford,8266,8.216,https://image.tmdb.org/t/p/w500/b5Jb7GoQaqIXy4VEdnQa0UrQZI.jpg
414906,Batman,2022,176,"Crimen, Misterio, Suspense",6th & Idaho Motion Picture Company,2022-03-01,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright",Matt Reeves,10998,7.657,https://image.tmdb.org/t/p/w500/mo7teil1qH0SxgLijnqeYP1Eb4w.jpg
985939,Vértigo,2022,107,Suspense,Tea Shop Productions,2022-08-11,"Grace Caroline Currey, Virginia Gardner, Jeffrey Dean Morgan",Scott Mann,4163,7.138,https://image.tmdb.org/t/p/w500/aOidBN8Ch4LD6M9HyvDjTqM9fLF.jpg
1052243,MANUEL,2022,18,,N/A,2022-11-23,,"Stefano Mangoni, Mario d'Anna",1,10.0,https://image.tmdb.org/t/p/w500/hpYt0ouIHcZhbxQDT4JFXLY3fih.jpg
