id,titulo,anio,duracion,genero,plataforma,estreno_cine,actores,directores,votos,puntuacion,poster_url
76600,Avatar: El sentido del agua,2022,192,"Ciencia ficción, Aventura, Acción",20th Century Studios,2022-12-14,"Sam Worthington, Zoe Saldaña, Sigourney Weaver",James Cameron,12644,7.61,https://image.tmdb.org/t/p/w500/bqOqQ2Tawum3eHKNrc94P4EeaZB.jpg
414906,Batman,2022,176,"Crimen, Misterio, Suspense",6th & Idaho Motion Picture Company,2022-03-01,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright",Matt Reeves,10998,7.657,https://image.tmdb.org/t/p/w500/mo7teil1qH0SxgLijnqeYP1Eb4w.jpg
872585,Oppenheimer,2023,181,"Drama, Historia",Syncopy,2023-07-19,"Cillian Murphy, Emily Blunt, Matt Damon",Christopher Nolan,10382,8.1,https://image.tmdb.org/t/p/w500/5t05uhX5ULn8Um2f1ZuznVvIffU.jpg
346698,Barbie,2023,114,"Comedia, Aventura",LuckyChap Entertainment,2023-06-18,"Margot Robbie, Ryan Gosling, America Ferrera",Greta Gerwig,10037,7.0,https://image.tmdb.org/t/p/w500/fNtqD4BTFj0Bgo9lyoAtmNFzxHN.jpg
361743,Top Gun: Maverick,2022,131,"Acción, Drama",Skydance Media,2022-05-21,"Tom Cruise, Val Kilmer, Miles Teller",Joseph Kosinski,9960,8.175,https://image.tmdb.org/t/p/w500/AlWpEpQq0RgZIXVHAHZtFhEvRgd.jpg
502356,Super Mario Bros: La película,2023,92,"Familia, Comedia, Aventura, Animación, Fantasía",Universal Pictures,2023-04-05,"Chris Pratt, Anya Taylor-Joy, Charlie Day","Aaron Horvath, Michael Jelenic",9782,7.619,https://image.tmdb.org/t/p/w500/zNKs1T0VZuJiVuhuL5GSCNkGdxf.jpg
453395,Doctor Strange en el multiverso de la locura,2022,126,"Fantasía, Acción, Aventura",Marvel Studios,2022-05-04,"Benedict Cumberbatch, Xochitl Gomez, Elizabeth Olsen",Sam Raimi,9608,7.258,https://image.tmdb.org/t/p/w500/xu0RftYPT4crY4ZSf9SMa5UM8dr.jpg
315162,El Gato con Botas: El último deseo,2022,103,"Animación, Aventura, Fantasía, Comedia, Familia",DreamWorks Animation,2022-12-07,"Antonio Banderas, Salma Hayek Pinault, Harvey Guillén",Joel Crawford,8266,8.216,https://image.tmdb.org/t/p/w500/b5Jb7GoQaqIXy4VEdnQa0UrQZI.jpg
616037,Thor: Love and Thunder,2022,119,"Fantasía, Acción, Comedia",Marvel Studios,2022-07-06,"Chris Hemsworth, Natalie Portman, Christian Bale",Taika Waititi,7987,6.411,https://image.tmdb.org/t/p/w500/z9ajF6E39Hg2pXUofmUYgZHvdX.jpg
569094,Spider-Man: Cruzando el Multiverso,2023,140,"Animación, Acción, Aventura, Ciencia ficción",Columbia Pictures,2023-05-31,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry","Kemp Powers, Justin K. Thompson, Joaquim Dos Santos",7670,8.347,https://image.tmdb.org/t/p/w500/37WcNMgNOMxdhT87MFl7tq7FM1.jpg
