id,titulo,anio,duracion,genero,plataforma,estreno_cine,actores,directores,votos,puntuacion,poster_url
569094,Spider-Man: Cruzando el Multiverso,2023,140,"Animación, Acción, Aventura, Ciencia ficción",Columbia Pictures,2023-05-31,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry","Kemp Powers, Justin K. Thompson, Joaquim Dos Santos",7670,8.347,https://image.tmdb.org/t/p/w500/37WcNMgNOMxdhT87MFl7tq7FM1.jpg
1184918,Robot salvaje,2024,101,"Animación, Ciencia ficción, Familia",DreamWorks Animation,2024-09-12,"Lupita Nyong'o, Pedro Pascal, Kit Connor",Chris Sanders,5120,8.312,https://image.tmdb.org/t/p/w500/a0a7RC01aTa7pOnskgJb3mCD2Ba.jpg
315162,El Gato con Botas: El último deseo,2022,103,"Animación, Aventura, Fantasía, Comedia, Familia",DreamWorks Animation,2022-12-07,"Antonio Banderas, Salma Hayek Pinault, Harvey Guillén",Joel Crawford,8266,8.216,https://image.tmdb.org/t/p/w500/b5Jb7GoQaqIXy4VEdnQa0UrQZI.jpg
851644,Una chica del siglo XX,2022,119,"Romance, Drama",Yong Film,2022-10-06,"김유정, 변우석, 박정우",Bang Woo-ri,739,8.187,https://image.tmdb.org/t/p/w500/4kU4QFgExCgybhcKv1mzZ0vuND6.jpg
823219,"Flow, un mundo que salvar",2024,84,"Animación, Aventura, Fantasía",Dream Well Studio,2024-08-29,,Gints Zilbalodis,2081,8.176,https://image.tmdb.org/t/p/w500/337MqZW7xii2evUDVeaWXAtopff.jpg
361743,Top Gun: Maverick,2022,131,"Acción, Drama",Skydance Media,2022-05-21,"Tom Cruise, Val Kilmer, Miles Teller",Joseph Kosinski,9960,8.175,https://image.tmdb.org/t/p/w500/AlWpEpQq0RgZIXVHAHZtFhEvRgd.jpg
693134,Dune: Parte dos,2024,167,"Ciencia ficción, Aventura",Legendary Pictures,2024-02-27,"Timothée Chalamet, Zendaya, Rebecca Ferguson",Denis Villeneuve,6791,8.1,https://image.tmdb.org/t/p/w500/xCHmhHeO7aOCMlzcNukGH6Q7EiD.jpg
872585,Oppenheimer,2023,181,"Drama, Historia",Syncopy,2023-07-19,"Cillian Murphy, Emily Blunt, Matt Damon",Christopher Nolan,10382,8.1,https://image.tmdb.org/t/p/w500/5t05uhX5ULn8Um2f1ZuznVvIffU.jpg
762975,Corazones malheridos,2022,122,"Romance, Drama",Alloy Entertainment,2022-07-29,"Sofia Carson, Nicholas Galitzine, John Harlan Kim",Elizabeth Allen Rosenbaum,2688,8.082,https://image.tmdb.org/t/p/w500/ndp4yIfg04i3raprDJ0UKWD8IK9.jpg
930094,"Rojo, blanco y sangre azul",2023,121,"Comedia, Romance",Amazon Studios,2023-07-27,"Taylor Zakhar Perez, Nicholas Galitzine, Uma Thurman",Matthew López,1387,8.0,https://image.tmdb.org/t/p/w500/5XGt6CpWpkGnGOrrjfOMhNzDDSS.jpg
